gics_sector,gics_subsector
Basic Materials,Agricultural Inputs
Basic Materials,Chemicals
Basic Materials,Chemicals - Specialty
Basic Materials,Construction Materials
Basic Materials,Copper
Basic Materials,Gold
Basic Materials,Steel
Communication Services,Advertising Agencies
Communication Services,Entertainment
Communication Services,Internet Content & Information
Communication Services,Telecommunications Services
Consumer Cyclical,Apparel - Footwear & Accessories
Consumer Cyclical,Apparel - Manufacturers
Consumer Cyclical,Apparel - Retail
Consumer Cyclical,Auto - Dealerships
Consumer Cyclical,Auto - Manufacturers
Consumer Cyclical,Auto - Parts
Consumer Cyclical,"Furnishings, Fixtures & Appliances"
Consumer Cyclical,"Gambling, Resorts & Casinos"
Consumer Cyclical,Home Improvement
Consumer Cyclical,Leisure
Consumer Cyclical,Luxury Goods
Consumer Cyclical,Packaging & Containers
Consumer Cyclical,Personal Products & Services
Consumer Cyclical,Residential Construction
Consumer Cyclical,Restaurants
Consumer Cyclical,Specialty Retail
Consumer Cyclical,Travel Lodging
Consumer Cyclical,Travel Services
Consumer Defensive,Agricultural Farm Products
Consumer Defensive,Beverages - Alcoholic
Consumer Defensive,Beverages - Non-Alcoholic
Consumer Defensive,Beverages - Wineries & Distilleries
Consumer Defensive,Discount Stores
Consumer Defensive,Food Confectioners
Consumer Defensive,Food Distribution
Consumer Defensive,Grocery Stores
Consumer Defensive,Household & Personal Products
Consumer Defensive,Packaged Foods
Consumer Defensive,Tobacco
Energy,Oil & Gas Equipment & Services
Energy,Oil & Gas Exploration & Production
Energy,Oil & Gas Integrated
Energy,Oil & Gas Midstream
Energy,Oil & Gas Refining & Marketing
Energy,Solar
Financial Services,Asset Management
Financial Services,Asset Management - Global
Financial Services,Banks - Diversified
Financial Services,Banks - Regional
Financial Services,Financial - Capital Markets
Financial Services,Financial - Credit Services
Financial Services,Financial - Data & Stock Exchanges
Financial Services,Insurance - Brokers
Financial Services,Insurance - Diversified
Financial Services,Insurance - Life
Financial Services,Insurance - Property & Casualty
Financial Services,Insurance - Reinsurance
Financial Services,Insurance - Specialty
Healthcare,Biotechnology
Healthcare,Drug Manufacturers - General
Healthcare,Drug Manufacturers - Specialty & Generic
Healthcare,Medical - Care Facilities
Healthcare,Medical - Devices
Healthcare,Medical - Diagnostics & Research
Healthcare,Medical - Distribution
Healthcare,Medical - Equipment & Services
Healthcare,Medical - Healthcare Information Services
Healthcare,Medical - Healthcare Plans
Healthcare,Medical - Instruments & Supplies
Healthcare,Medical - Pharmaceuticals
Industrials,Aerospace & Defense
Industrials,Agricultural - Machinery
Industrials,"Airlines, Airports & Air Services"
Industrials,Business Equipment & Supplies
Industrials,Conglomerates
Industrials,Construction
Industrials,Consulting Services
Industrials,Electrical Equipment & Parts
Industrials,Engineering & Construction
Industrials,Industrial - Distribution
Industrials,Industrial - Machinery
Industrials,Industrial - Pollution & Treatment Controls
Industrials,Integrated Freight & Logistics
Industrials,Manufacturing - Tools & Accessories
Industrials,Railroads
Industrials,Rental & Leasing Services
Industrials,Security & Protection Services
Industrials,Specialty Business Services
Industrials,Staffing & Employment Services
Industrials,Trucking
Industrials,Waste Management
Real Estate,REIT - Diversified
Real Estate,REIT - Healthcare Facilities
Real Estate,REIT - Hotel & Motel
Real Estate,REIT - Industrial
Real Estate,REIT - Office
Real Estate,REIT - Residential
Real Estate,REIT - Retail
Real Estate,REIT - Specialty
Real Estate,Real Estate - Services
Technology,Communication Equipment
Technology,Computer Hardware
Technology,Consumer Electronics
Technology,Electronic Gaming & Multimedia
Technology,"Hardware, Equipment & Parts"
Technology,Information Technology Services
Technology,Semiconductors
Technology,Software - Application
Technology,Software - Infrastructure
Technology,Software - Services
Utilities,Diversified Utilities
Utilities,General Utilities
Utilities,Independent Power Producers
Utilities,Regulated Electric
Utilities,Regulated Gas
Utilities,Regulated Water
Utilities,Renewable Utilities
